nama_sekolah,npsn,bp,status,pd,guru,kecamatan ,wilayah 
SMP Negeri 100,20101558,SMP,Negeri,25,Cengkareng,Jakarta Barat
SMP Negeri 108,20101554,SMP,Negeri,856,34,Cengkareng,Jakarta Barat
SMP NEGERI 132 JAKARTA,20101562,SMP,Negeri,735,30,Cengkareng,Jakarta Barat
SMP Negeri 176,20101573,SMP,Negeri,714,35,Cengkareng,Jakarta Barat
SMP Negeri 201,20101565,SMP,Negeri,768,34,Cengkareng,Jakarta Barat
SMP NEGERI 248 JAKARTA,20101524,SMP,Negeri,747,36,Cengkareng,Jakarta Barat
SMP Negeri 249,20101523,SMP,Negeri,885,37,Cengkareng,Jakarta Barat
SMP Negeri 264,20101534,SMP,Negeri,933,49,Cengkareng,Jakarta Barat
SMP NEGERI 45 JAKARTA,20101545,SMP,Negeri,821,36,Cengkareng,Jakarta Barat
SMP Ad-Dawah,20106718,SMP,Swasta,215,7,Cengkareng,Jakarta Barat
SMP AL HUDA,20109330,SMP,Swasta,443,22,Cengkareng,Jakarta Barat
SMP AL JIHAD,20106733,SMP,Swasta,152,8,Cengkareng,Jakarta Barat
SMP AL MUKHLISIN,20106729,SMP,Swasta,201,9,Cengkareng,Jakarta Barat
SMP Al-Yauma,20106735,SMP,Swasta,222,8,Cengkareng,Jakarta Barat
SMP ASIA,20109072,SMP,Swasta,63,3,Cengkareng,Jakarta Barat
SMP AT TAUFIK,20106740,SMP,Swasta,113,8,Cengkareng,Jakarta Barat
SMP AULIA,69858802,SMP,Swasta,61,2,Cengkareng,Jakarta Barat
SMP Baptis Cengkareng Indah,20106741,SMP,Swasta,85,9,Cengkareng,Jakarta Barat
SMP BINA TARUNA,20106748,SMP,Swasta,237,9,Cengkareng,Jakarta Barat
SMP Bintang Kejora,20106750,SMP,Swasta,105,6,Cengkareng,Jakarta Barat
SMP Cendrawasih,20106761,SMP,Swasta,81,4,Cengkareng,Jakarta Barat
SMP CENGKARENG 1,20106762,SMP,Swasta,559,27,Cengkareng,Jakarta Barat
SMP Cinta Kasih Tzu Chi,20106759,SMP,Swasta,405,25,Cengkareng,Jakarta Barat
SMP DARROSTA,20109008,SMP,Swasta,276,13,Cengkareng,Jakarta Barat
SMP Darul Izzah,20106767,SMP,Swasta,619,23,Cengkareng,Jakarta Barat
SMP Darul Mukhlishin,20109005,SMP,Swasta,623,6,Cengkareng,Jakarta Barat
SMP DUTA BANGSA,20106769,SMP,Swasta,173,9,Cengkareng,Jakarta Barat
SMP Eka Sakti,20106773,SMP,Swasta,89,10,Cengkareng,Jakarta Barat
SMP Esti Bakti,20106776,SMP,Swasta,20,7,Cengkareng,Jakarta Barat
SMP HARAPAN BANGSA,20106795,SMP,Swasta,83,6,Cengkareng,Jakarta Barat
SMP HARAPAN JAYA,20106796,SMP,Swasta,527,21,Cengkareng,Jakarta Barat
SMP HARAPAN LESTARI,NP352819,SMP,Swasta,59,4,Cengkareng,Jakarta Barat
SMP Impian Bunda,20106802,SMP,Swasta,82,6,Cengkareng,Jakarta Barat
SMP IP YAKIN,20109009,SMP,Swasta,461,19,Cengkareng,Jakarta Barat
SMP ISLAM ALWAHAB,20109007,SMP,Swasta,204,6,Cengkareng,Jakarta Barat
SMP ISLAM AN NASIRIIN,NP210014,SMP,Swasta,83,4,Cengkareng,Jakarta Barat
SMP ISLAM KEMULIAAN,20106807,SMP,Swasta,198,6,Cengkareng,Jakarta Barat
SMP ISLAM TERPADU AN-NASHR,20112448,SMP,Swasta,81,9,Cengkareng,Jakarta Barat
SMP IT AMANI AR RASYID,69971564,SMP,Swasta,6,3,Cengkareng,Jakarta Barat
SMP KASIH BAGI BANGSA,69975235,SMP,Swasta,67,9,Cengkareng,Jakarta Barat
SMP KASIH KARUNIA,20108792,SMP,Swasta,67,11,Cengkareng,Jakarta Barat
